url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,17,15
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,8,4
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,7,3
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,5,3
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main,2,2
/TheBinaryBjorn/smart-ac-controller/blame/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,2,1
/TheBinaryBjorn/smart-ac-controller/agents,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,1,1
