url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,17,11
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,7,6
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,6,4
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,4,4
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,4,3
/TheBinaryBjorn/smart-ac-controller/tree/main,4,2
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,3,3
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,2,2
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/script.js,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,2,2
