time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,35,13,0,0
2026-07-08 00:00:00+00:00,7,3,0,0
2026-07-09 00:00:00+00:00,1,1,0,0
2026-07-10 00:00:00+00:00,7,2,6,2
2026-07-11 00:00:00+00:00,20,7,1,1
2026-07-12 00:00:00+00:00,13,4,34,4
2026-07-13 00:00:00+00:00,12,7,0,0
2026-07-14 00:00:00+00:00,30,9,7,1
2026-07-15 00:00:00+00:00,14,5,0,0
2026-07-16 00:00:00+00:00,1,1,1,1
2026-07-17 00:00:00+00:00,17,8,1,1
2026-07-18 00:00:00+00:00,2,2,1,1
2026-07-19 00:00:00+00:00,22,9,0,0
2026-07-20 00:00:00+00:00,3,3,0,0
