time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,18,5,1,1
2026-04-17 00:00:00+00:00,13,4,0,0
2026-04-18 00:00:00+00:00,20,7,2,1
2026-04-19 00:00:00+00:00,24,10,0,0
2026-04-20 00:00:00+00:00,17,12,12,1
2026-04-21 00:00:00+00:00,20,6,0,0
2026-04-22 00:00:00+00:00,43,11,0,0
2026-04-23 00:00:00+00:00,51,12,0,0
2026-04-24 00:00:00+00:00,46,12,0,0
2026-04-25 00:00:00+00:00,34,15,1,1
2026-04-26 00:00:00+00:00,14,5,0,0
2026-04-27 00:00:00+00:00,31,11,11,1
2026-04-28 00:00:00+00:00,29,8,5,1
2026-04-29 00:00:00+00:00,40,9,9,2
