url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,11,6
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,4,1
/TheBinaryBjorn/smart-ac-controller/tree/main,3,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.html,1,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.pdf,1,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report_for_pdf.html,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/.github/workflows/traffic.yml,1,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/.github,1,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/.github/workflows,1,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller,1,1
