time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,3,3,0,0
2026-04-07 00:00:00+00:00,2,2,0,0
2026-04-08 00:00:00+00:00,23,7,1,1
2026-04-09 00:00:00+00:00,28,9,0,0
2026-04-10 00:00:00+00:00,1,1,3,1
2026-04-11 00:00:00+00:00,39,9,0,0
2026-04-12 00:00:00+00:00,43,13,5,1
2026-04-13 00:00:00+00:00,20,6,2,2
2026-04-14 00:00:00+00:00,35,10,21,1
2026-04-15 00:00:00+00:00,22,8,0,0
2026-04-16 00:00:00+00:00,18,5,1,1
2026-04-17 00:00:00+00:00,13,4,0,0
2026-04-18 00:00:00+00:00,20,7,2,1
2026-04-19 00:00:00+00:00,24,10,0,0
