url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,42,14
/TheBinaryBjorn/smart-ac-controller/issues/new,13,1
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,12,5
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,9,4
/TheBinaryBjorn/smart-ac-controller/tree/main,6,4
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,6,3
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,6,2
/TheBinaryBjorn/smart-ac-controller/tree/feature/custom-i2c-driver,5,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,4,4
/TheBinaryBjorn/smart-ac-controller/issues,4,2
