url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,19,12
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,7,5
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,6,4
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,4,3
/TheBinaryBjorn/smart-ac-controller/tree/main,4,2
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,3,3
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,3,3
/TheBinaryBjorn/smart-ac-controller/blob/main/.gitignore,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,3,2
/TheBinaryBjorn/smart-ac-controller/blob/main/LICENSE,2,1
