url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,9,8
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,3,1
/TheBinaryBjorn/smart-ac-controller/blob/main/README.md,2,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.pdf,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/.github/workflows/traffic.yml,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/LICENSE,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,1,1
