url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,12,6
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,5,1
/TheBinaryBjorn/smart-ac-controller/tree/main,3,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.pdf,2,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller,2,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report,2,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.html,1,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report_for_pdf.html,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/.github/workflows/traffic.yml,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,1,1
