url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,13,12
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,4,3
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/index.html,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,1,1
