time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,22,9,0,0
2026-06-10 00:00:00+00:00,25,8,3,1
2026-06-11 00:00:00+00:00,16,6,6,1
2026-06-12 00:00:00+00:00,21,8,0,0
2026-06-13 00:00:00+00:00,26,11,0,0
2026-06-14 00:00:00+00:00,37,9,0,0
2026-06-15 00:00:00+00:00,18,5,17,1
2026-06-16 00:00:00+00:00,15,5,0,0
2026-06-17 00:00:00+00:00,19,5,1,1
2026-06-18 00:00:00+00:00,22,9,0,0
2026-06-19 00:00:00+00:00,29,10,1,1
2026-06-20 00:00:00+00:00,39,9,0,0
2026-06-21 00:00:00+00:00,30,7,1,1
2026-06-22 00:00:00+00:00,37,9,3,3
