url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,13,12
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,8,6
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,5,4
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,5,4
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,3,3
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,3,3
/TheBinaryBjorn/smart-ac-controller/tree/main,3,2
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/index.html,2,2
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/script.js,2,2
/TheBinaryBjorn/smart-ac-controller/blob/main/LICENSE,1,1
