url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,13,1
/TheBinaryBjorn/smart-ac-controller/pulse,3,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,3,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller,3,1
/TheBinaryBjorn/smart-ac-controller/blob/main/README.md,2,1
/TheBinaryBjorn/smart-ac-controller/edit/main/README.md,2,1
/TheBinaryBjorn/smart-ac-controller/graphs/traffic,2,1
/TheBinaryBjorn/smart-ac-controller/tree/feature/add-traffic-stats,2,1
/TheBinaryBjorn/smart-ac-controller/actions,1,1
/TheBinaryBjorn/smart-ac-controller/actions/metrics/performance,1,1
