time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,20,7,0,0
2026-06-02 00:00:00+00:00,14,5,1,1
2026-06-03 00:00:00+00:00,16,7,4,1
2026-06-04 00:00:00+00:00,26,9,0,0
2026-06-05 00:00:00+00:00,22,8,5,5
2026-06-06 00:00:00+00:00,18,5,1,1
2026-06-07 00:00:00+00:00,19,5,2,2
2026-06-08 00:00:00+00:00,25,7,0,0
2026-06-09 00:00:00+00:00,22,9,0,0
2026-06-10 00:00:00+00:00,25,8,3,1
2026-06-11 00:00:00+00:00,16,6,6,1
2026-06-12 00:00:00+00:00,21,8,0,0
2026-06-13 00:00:00+00:00,26,11,0,0
2026-06-14 00:00:00+00:00,37,9,0,0
