time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,31,7,0,0
2026-06-24 00:00:00+00:00,41,11,1,1
2026-06-25 00:00:00+00:00,34,11,2,1
2026-06-26 00:00:00+00:00,2,2,0,0
2026-06-27 00:00:00+00:00,12,7,12,1
2026-06-28 00:00:00+00:00,1,1,3,3
2026-06-29 00:00:00+00:00,19,6,0,0
2026-06-30 00:00:00+00:00,9,4,9,2
2026-07-01 00:00:00+00:00,14,5,4,1
2026-07-02 00:00:00+00:00,1,1,0,0
2026-07-03 00:00:00+00:00,8,3,10,2
2026-07-04 00:00:00+00:00,8,7,0,0
2026-07-05 00:00:00+00:00,7,2,2,2
2026-07-06 00:00:00+00:00,2,2,0,0
