url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,21,3
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,7,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller,4,1
/TheBinaryBjorn/smart-ac-controller/pulse,3,1
/TheBinaryBjorn/smart-ac-controller/tree/main,3,1
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.html,2,1
/TheBinaryBjorn/smart-ac-controller/blob/main/README.md,2,1
/TheBinaryBjorn/smart-ac-controller/edit/main/README.md,2,1
/TheBinaryBjorn/smart-ac-controller/graphs/traffic,2,1
/TheBinaryBjorn/smart-ac-controller/tree/feature/add-traffic-stats,2,1
