url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,20,17
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,10,5
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,9,4
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,7,4
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main,2,2
/TheBinaryBjorn/smart-ac-controller/blame/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,2,1
/TheBinaryBjorn/smart-ac-controller/agents,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,1,1
