url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,12,9
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,5,2
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,4,2
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,1,1
