url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,26,18
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,12,6
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,11,5
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,7,4
/TheBinaryBjorn/smart-ac-controller/tree/main,4,3
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/README.md,4,1
/TheBinaryBjorn/smart-ac-controller/tree/feature/custom-sht30-driver/smart_ac_controller_main_code,4,1
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,2,2
