url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,14,9
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,2,2
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/style.css,2,1
/TheBinaryBjorn/smart-ac-controller/blame/main/smart_ac_controller_main_code/data/style.css,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/index.html,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/script.js,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,1,1
/TheBinaryBjorn/smart-ac-controller/branches,1,1
