url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,17,5
/TheBinaryBjorn/smart-ac-controller/issues/new,6,1
/TheBinaryBjorn/smart-ac-controller/tree/main,5,2
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,5,1
/TheBinaryBjorn/smart-ac-controller/actions,3,1
/TheBinaryBjorn/smart-ac-controller/tree/ci/compile-workflow,3,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,2,2
/TheBinaryBjorn/smart-ac-controller/activity,2,1
/TheBinaryBjorn/smart-ac-controller/pull/22,2,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller,2,1
