url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,32,5
/TheBinaryBjorn/smart-ac-controller/issues/new,13,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,10,2
/TheBinaryBjorn/smart-ac-controller/tree/main,7,3
/TheBinaryBjorn/smart-ac-controller/tree/feature/custom-i2c-driver,5,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller,4,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,4,2
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,3,3
/TheBinaryBjorn/smart-ac-controller/actions,3,1
/TheBinaryBjorn/smart-ac-controller/pulls,3,1
