url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,22,13
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,5,3
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,5,3
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,3,3
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,3,3
/TheBinaryBjorn/smart-ac-controller/blob/main/.gitignore,3,2
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,3,2
/TheBinaryBjorn/smart-ac-controller/tree/main,3,1
/TheBinaryBjorn/smart-ac-controller/blob/main/LICENSE,2,1
