url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,27,5
/TheBinaryBjorn/smart-ac-controller/issues/new,13,1
/TheBinaryBjorn/smart-ac-controller/tree/main,5,2
/TheBinaryBjorn/smart-ac-controller/tree/feature/custom-i2c-driver,5,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,5,1
/TheBinaryBjorn/smart-ac-controller/actions,3,1
/TheBinaryBjorn/smart-ac-controller/tree/ci/compile-workflow,3,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,2,2
/TheBinaryBjorn/smart-ac-controller/activity,2,1
