time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,1,1,10,2
2026-08-12 00:00:00+00:00,14,5,30,2
2026-08-13 00:00:00+00:00,4,4,11,1
2026-08-14 00:00:00+00:00,3,3,29,1
2026-08-15 00:00:00+00:00,1,1,0,0
2026-08-16 00:00:00+00:00,8,4,11,1
2026-08-17 00:00:00+00:00,21,15,34,1
2026-08-18 00:00:00+00:00,15,7,32,1
2026-08-19 00:00:00+00:00,1,1,3,1
2026-08-20 00:00:00+00:00,8,4,2,1
2026-08-21 00:00:00+00:00,6,2,0,0
2026-08-22 00:00:00+00:00,6,2,0,0
2026-08-23 00:00:00+00:00,1,1,1,1
2026-08-24 00:00:00+00:00,3,2,0,0
