url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,12,9
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,4,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,4,2
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,2,2
/TheBinaryBjorn/smart-ac-controller/blob/main/.github/workflows/traffic.yml,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/.gitignore,1,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,1,1
